1	A	M	F0	SL	2,11,14
2	A	M	F0	AL	5,5,13,20,22
3	A	M	F1	SL	6,6,15
4	A	M	F1	AL	7,14
5	A	M	F2	SL	6,32,53,57
6	A 	M	F2	AL	14,16,16,17,40,43,46
7	A	M	F3	SL	12,15
8	A	M	F3	AL	8,23,23,28,34,36,38
9	A	F	F0	SL	3
10	A 	F	F0	AL	5,11,24,45
11	A	F	F1	SL	5,6,6,9,13,23,25,32,53,54
12	A	F	F1	AL	5,5,11,17,19
13	A	F	F2	SL	8,13,14,20,47,48,60,81
14	A	F	F2	AL	2
15	A	F	F3	SL	5,9,7
16	A	F	F3	AL	0,2,3,5,10,14,21,36,40
17	N	M	F0	SL	6,17,67
18	N	M	F0	AL	0,0,2,7,11,12
19	N	M	F1	SL	0,0,5,5,5,11,17
20	N	M	F1	AL	3,3
21	N	M	F2	SL	22,30,36
22	N	M	F2	AL	8,0,1,5,7,16,27
23	N	M	F3	SL	12,15
24	N	M	F3	AL	0,30,10,14,27,41,69
25	N	F	F0	SL	25
26	N	F	F0	AL	10,11,20,33
27	N	F	F1	SL	5,7,0,1,5,5,5,5,7,11,15
28	N	F	F1	AL	5,14,6,6,7,28
29	N	F	F2	SL	0,5,14,2,2,3,8,10,12
30	N	F	F2	AL	1
31	N	F	F3	SL	8
32	N	F	F3	AL	1,9,22,3,3,5,15,18,22,37
