1   1   -14.67  
1   1   -1.85   
1   1   -8.55   
1   1   -23.03  
1   1   11.61   
1   2   0.81    
1   2   2.38    
1   2   2.74    
1   2   3.36    
1   2   2.10    
1   2   -0.83   
1   2   -3.05   
1   2   -5.98   
1   2   -3.64   
1   2   -7.38   
1   2   -3.60   
1   2   -0.94
2   1   -3.39
2   1   -4.00
2   1   -2.31
2   1   -3.60
2   1   -7.69
2   1   -13.92
2   1   -7.64
2   1   -7.59
2   1   -1.62
2   1   -12.21
2   1   -8.85
2   2   5.84
2   2   1.71
2   2   -4.10
2   2   -5.19
2   2   0.00
2   2   -2.80
