0       1       7       17      6
0       0       77      20      67
1       1       7       16      4
0       0       5       18      5
1       1       23      22      16
0       0       35      13      31
0       1       11      23      6
1       0       12      34      20
1       0       7       50      7
1       0       318     19      347
1       1       160     17      142
0       1       8       23      1
1       0       20      22      16
1       0       11      30      20
1       0       24      27      26
1       1       34      23      27
0       0       54      22      45
1       1       16      13      10
1       0       30      34      30
0       1       10      23      6
0       1       20      22      5
1       1       12      42      8
