  1 1   8
  2 1   9
  3 1  10
  4 1  10
  5 1  10
  6 1  10
  7 1  10
  8 1  10
  9 1  11
 10 1  11
 11 1  11
 12 1  11
 13 1  12
 14 1  12
 15 1  13
 16 1  13
 17 1  13
 18 1  14
 19 1  14
 20 1  14
 21 1  15
 22 1  15
 23 1  15
 24 1  15
 25 1  15
 26 1  15
 27 1  15
 28 1  15
 29 1  16
 30 1  16
 31 1  16
 32 1  17
 33 1  17
 34 1  17
 35 1  17
 36 1  18
 37 1  18
 38 1  20
 39 1  22
 40 1  25
 41 1  27
 42 1  35
 43 1  38
 44 1  40
 45 2  24
 46 2  25
 47 2  27
 48 2  30
 49 2  30
 50 2  30
 51 2  30
 52 2  30
 53 2  30
 54 2  32
 55 2  32
 56 2  33
 57 2  34
 58 2  34
 59 2  34
 60 2  35
 61 2  35
 62 2  36
 63 2  36
 64 2  36
 65 2  37
 66 2  37
 67 2  40
 68 2  40
 69 2  40
 70 2  40
 71 2  40
 72 2  40
 73 2  40
 74 2  40
 75 2  40
 76 2  41
 77 2  41
 78 2  42
 79 2  42
 80 2  42
 81 2  42
 82 2  43
 83 2  43
 84 2  44
 85 2  44
 86 2  44
 87 2  45
 88 2  45
 89 2  45
 90 2  45
 91 2  45
 92 2  45
 93 2  46
 94 2  46
 95 2  47
 96 2  48
 97 2  48
 98 2  50
 99 2  50
100 2  50
101 2  51
102 2  54
103 2  54
104 2  54
105 2  55
106 2  55
107 2  60
108 2  60
109 2  63
110 2  70
111 2  75
112 2  80
113 2  94
