1 99.971 3
2 99.979 4.7
3 99.982 8.3
4 99.971 9.3
5 99.957 9.9
6 99.961 11
7 99.956 12.3
8 99.972 12.5
9 99.889 12.6
10 99.961 15.9
11 99.982 16.7
12 99.975 18.8
13 99.942 18.8
14 99.932 18.9
15 99.908 21.7
16 99.97 21.9
17 99.985 22.8
18 99.933 24.2
19 99.858 25.8
20 99.987 30.6
21 99.958 36.2
22 99.909 39.8
23 99.859 44.3
24 99.863 46.8
25 99.811 46.8
26 99.877 58.1
27 99.798 62.3
28 99.855 70.6
29 99.788 71.1
30 99.821 71.3
31 99.83 83.2
32 99.718 83.6
33 99.642 99.5
34 99.658 111.2
