m	8
m	9
m	10
m	10
m	10
m	10
m	10
m	10
m	11
m	11
m	11
m	11
m	12
m	12
m	13
m	13
m	13
m	14
m	14
m	14
m	15
m	15
m	15
m	15
m	15
m	15
m	15
m	15
m	16
m	16
m	16
m	17
m	17
m	17
m	17
m	18
m	18
m	20
m	22
m	25
m	27
m	35
m	38
m	40
f	24
f	25
f	27
f	30
f	30
f	30
f	30
f	30
f	30
f	32
f	32
f	33
f	34
f	34
f	34
f	35
f	35
f	36
f	36
f	36
f	37
f	37
f	40
f	40
f	40
f	40
f	40
f	40
f	40
f	40
f	40
f	41
f	41
f	42
f	42
f	42
f	42
f	43
f	43
f	44
f	44
f	44
f	45
f	45
f	45
f	45
f	45
f	45
f	46
f	46
f	47
f	48
f	48
f	50
f	50
f	50
f	51
f	54
f	54
f	54
f	55
f	55
f	60
f	60
f	63
f	70
f	75
f	80
f	94
